epoch,train_loss,validation_loss,train_accuracy,validation_accuracy,train_macro_f1,validation_macro_f1,run
1,3.1706342217879744,3.2161908682654885,0.0477326968973747,0.040740740740740744,0.014365613997709838,0.009457686579927667,exp2_lr_tuned
2,3.135370817499913,3.183240410860847,0.06237072394590294,0.08222222222222222,0.02573412899531403,0.031487038271515645,exp2_lr_tuned
3,3.1203042738916915,3.213287855597103,0.0579156722354813,0.03925925925925926,0.03869428315338811,0.028712895542408856,exp2_lr_tuned
4,3.126987344436063,3.2597258651957794,0.05982498011137629,0.05703703703703704,0.03671144711168791,0.03580040362149597,exp2_lr_tuned
5,3.108879327774048,3.187236634422751,0.07796340493237867,0.06888888888888889,0.04731169519770001,0.04055692326533667,exp2_lr_tuned
6,3.1014547608887573,3.194280500972972,0.059029435163086716,0.04666666666666667,0.04208956782126733,0.029867986288531507,exp2_lr_tuned
7,3.0738935015583766,3.186904783809886,0.07987271280827367,0.08,0.056107960466681955,0.04898275393906509,exp2_lr_tuned
8,3.1057147518672408,3.2368641600889316,0.07175815433571997,0.06074074074074074,0.04635007008474001,0.02953060637471704,exp2_lr_tuned
9,3.0609583988141162,3.2405528292936436,0.06237072394590294,0.06,0.04535433382629988,0.04487438872774476,exp2_lr_tuned
10,3.039456627751125,3.2060016323538387,0.07271280827366747,0.06,0.05446901705426227,0.04574724828997134,exp2_lr_tuned
