split,mode,count,split_total,percent_of_split
test,major,51,169,30.17751479289941
test,minor,118,169,69.8224852071006
train,major,246,785,31.337579617834393
train,minor,539,785,68.6624203821656
val,major,55,168,32.73809523809524
val,minor,113,168,67.26190476190477
