split,mode,count,split_total,percent_of_split
test,major,408,1352,30.17751479289941
test,minor,944,1352,69.8224852071006
train,major,1968,6280,31.337579617834393
train,minor,4312,6280,68.6624203821656
val,major,440,1344,32.73809523809524
val,minor,904,1344,67.26190476190477
